Pharmacodia ID,Target,Type,Therapeutic Area,Development Phase,Exclusive Partership
67568222935333916663,ST2,,,,
36393982546978916696,STAT3,,,,
12222315259877916982,TACE,,,,
89476637824583916418,TEK,,,,
94712087009016916949,TEM1,,,,
88946266953710916657,TFPI,,,,
83231254241026916413,TGFB1,,,,
05007770851002916908,TGFB2,,,,
79162459189410916201,TGFBR2,,,,
59411491036480916669,TLR2,,,,
33327892025973916260,TLR4,,,,
1310451640410575147,TRB,,,,
01784829796133916853,TYRP1,,,,
44773610624882916847,UPA,,,,
1310451640410575072,UPAR,,,,
05992419414198916133,VAP-1,,,,
93889454933402916976,VEGFA,,,,
78637376934159916408,VEGFR,,,,
04982022097976916644,VEGFR-1,,,,
71182081805141916782,VEGFR-2,,,,
11338237401382916871,VEGFR-3,,,,
35344266512392916242,VISTA,,,,
83923534036833916351,WT1,,,,
