Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs,Pharmacodia ID
LRRC15,"LRRC15, LIB",Oncology,F0,No,1,08161605990734916246
LRRC33,"LRRC33, NRROS",Oncology,F0,No,0,08658265338578916276
MCSP,"MCSP, NG2, MCSP",Oncology,F0,No,0,28720966962433916962
MDK,"MDK, ARAP, NEGF2","Oncology, Inflammation and Autoimmunity",F0,No,1,15704883039394916560
MDR-1,"ABCB1, CD243, GP170",Oncology,F0,No,45,15892773237899916950
MERTK,"MER, RP38, MERTK","Oncology, Inflammation and Autoimmunity",F0,No,3,55655070459597916180
MFGE8,"MFGE8, BA46, HMFG, ","Oncology, Neuroscience, Ophthalmology",F0,No,0,57885634250413916586
MIF,"MIF, GIF,  GLIF","Oncology, Inflammation and Autoimmunity",F1(+/-),No,5,66828665893569916636
MSLN,"MSLN, CAK1, MPF",Oncology,F1(+/-),No,17,31604609394284916839
MUC1,"MUC1, CD227, EMA",Oncology,F0,No,37,41769138261362916519
MUC16,"MUC-16, CA-125",Oncology,F0,No,5,56467653341964916397
Nectin-4,"Nectin-4, NECTIN4",Oncology,F0,No,2,66894713897960916329
NKG2A,"KLRC1,  NKG2A",Oncology,F2(-/-),No,1,17532840296690916853
NKG2D,"NKG2D, KLRK1",Oncology,F1(+/-),No,0,20761358688836916797
NKp46,"NKp46, NCR1",Oncology,F2(-/-),No,0,97240823256319916544
Notch3,Notch3,Oncology,F0,No,2,81011440780449916714
OSM,OSM,Inflammation and Autoimmunity,F0,No,3,74724715854221916843
OSMR,"OSMR, IL-31R-beta","Oncology, Inflammation and Autoimmunity",F0,No,0,43796496802684916248
OX40,"OX40, CD134, TNFRSF4",Oncology,F1(+/-),No,21,45565885477456916481
P2X7,P2X7,Oncology,F0,No,6,88944873770003916120
PCSK9,PCSK9,"Metabolism, Cardiovascular, Oncology",F0,No,30,44317419277371916393
PD-1,PD1,Oncology,antibody discovery,No,90,1310451640410575058
PD-L1,PD-L1,Oncology,F2(-/-),No,72,33090788836563916891
PD-L2,"PD-L2, CD273, PDCD1LG2",Oncology,F0,No,0,04350381698587916968
PGF,PGF,"Oncology, Inflammation and Autoimmunity",F0,No,14,92936647445121916406
POSTN,"POSTN, PN, OSF2","Oncology,  Cardiovascular,  Inflammation and Autoimmunity",F0,No,0,32041683596266916595
PRLR,"PRLR, HPRL, MFAB","Oncology, Reproductive System Diseases",F0,No,5,30425329449376916296
PROK2,"PROK2, PK2, KAL4",Oncology,F0,No,0,66016016904358916610
PSCA,"PSCA, PRO232","Oncology,  Others",F0,No,4,78904291006321916257
PSMA,"PSMA, FGCP, FOLH1","Oncology, Neuroscience",F0,No,30,00430643659703916543
PVRIG,"PVRIG, CD112R, C7orf15",Oncology,F0,No,1,98471047413486916295
RANKL,"RANKL, OPGL, TNFSF11","Orthopaedic Disorders, Metabolism, Oncology",F0,No,24,46964100323087916369
ROBO4,"ROBO4, AOVD3, ECSM4",Ophthalmology,F1(+/-),No,0,25867640997118916818
Sclerostin,SOST,Orthopaedic Disorders,F1(+/-),No,5,60761882606562916318
SELPLG,SELPLG,Inflammation and Autoimmunity,F1(+/-),No,3,57300513357037916947
Siglec-10,Siglec-10,Oncology,F2(-/-),No,1,83780033797898916476
SIGLEC15,Siglec-15,Oncology,,Yes,2,03304598841459916522
SIRPa,SIRPA,Oncology,Immunization,No,6,68764075540305916174
SLAMF7,"SLAMF7, CD319, CRACC",Oncology,F0,No,6,72194324001460916917
SLC7A11,Slc7a11,Oncology,Immunization,No,1,23781858800383916625
SPARC,"SPARC, ONT, BM-40","Oncology,  Inflammation and Autoimmunity,  Infectious Diseases,  Ophthalmology,  Cardiovascular,  Orthopaedic Disorders",F0,No,0,87869652015706916202
SPP1,"SPP1, OPN, BNSP","Oncology, Inflammation and Autoimmunity",F0,No,2,93074488256362916590
SSTR2,SSTR2,Oncology,F0,No,22,51954379428262916870
ST2,"ST2, IL1RL1, IL33R",Inflammation and Autoimmunity,F2(-/-),No,5,34575248282844916742
STEAP1,"STEAP, PRSS24, STEAP1",Oncology,F0,No,3,09879904612150916739
TEM1,"TEM1, CD164L1",Oncology,F0,No,1,58515680034618916233
TGM2,TGM2,"Infectious Diseases, Inflammation and Autoimmunity",F0,No,3,70582932807103916260
TIGIT,"TIGIT, VSIG9, VSTM3",Oncology,F2(-/-),No,9,69101446028366916498
TIM3,"TIM3, CD366",Oncology,F1(+/-),No,12,83699669692262916613
TLR2,TLR2,"Inflammation and Autoimmunity, Infectious Diseases, Gastrointestinal, Oncology",F0,No,8,28641163374798916312
TLR3,"TLR3, CD283, IIAE2","Infectious Diseases, Inflammation and Autoimmunity",F0,No,16,99376684457857916944
TLR4,TLR4,"Inflammation and Autoimmunity, Infectious Diseases, Gastrointestinal",F0,No,20,41931322576240916462
TNC,"TNC, HXB, GMEM",Oncology,F0,No,5,68872603873977916174
TNF,"TNF, TNFA, TNFSF2","Inflammation and Autoimmunity, Oncology, Infectious Diseases",F0,No,176,82657388042681916136
TNFR2,TNFR2,Oncology,antibody discovery,No,0,45944238912474916762
TNFRSF1A,"TNFRSF1A, TNFAR, TNFR1","Infectious Diseases, Inflammation and Autoimmunity",F0,No,0,30973073884855916687
TNFRSF25,"TNFRSF25, DDR3, TRAMP","Oncology, Inflammation and Autoimmunity",F0,No,0,37972375419378916562
TNFSF15,"TNFSF15, TL1, VEGI",Inflammation and Autoimmunity,F0,No,1,03300307107566916524
TPBG,"TPBG, 5T4, WAIF1",Oncology,F1(+/-),No,8,06753583376099916169
TREM1,"TREM1, CD354, TREM-1","Oncology, Inflammation and Autoimmunity",F0,No,1,25624731982117916277
TREM2,"TREM2, PLOSL2","Neuroscience,  Oncology,  Gastrointestinal,  Inflammation and Autoimmunity,  Infectious Diseases",F0,No,1,76321457181224916753
TROP2,"TROP2, EGP1, GA733-1",Oncology,F0,No,6,91871206869016916419
TSLP,TSLP,"Oncology, Inflammation and Autoimmunity",F2(-/-),No,2,37848628072571916229
TSLPR,"CRL2, TSLPR, CRLF2Y",Inflammation and Autoimmunity,F0,No,0,98513421396890916247
UPAR,"CD87, UPAR, PLAUR",Oncology,F1(+/-),No,0,63718417158614916477
VISTA,"B7H5, PD-1H, VISTA",Oncology,F0,No,3,29829875523264916973
