Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Pharmacodia ID,Launched Drugs
CD43,"LSN,CD43,GALGP",Oncology,F1(+/-),No,,
CD44,CD44,Oncology,F2(-/-),No,19367787448993916585,0
CD45RB,"CD45,B220,Ly-5","Oncology,Inflammation and Autoimmunity",F0,No,57885634250413916586,0
CD46,"CD46,MCP,TLX",Oncology,F1(+/-),No,66828665893569916636,0
CD47,CD47,Oncology,In vitro,No,75968780273393916709,0
CD48,"CD48,BCM1,BLAST","Inflammation and Autoimmunity,Oncology,Gastrointestinal",F1(+/-),No,31604609394284916839,0
CD49a,"VLA1, CD49a","Inflammation and Autoimmunity,Metabolism,Cardiovascular",F1(+/-),No,,
CD49b,"CD49b,HPA-5,VLA-2","Inflammation and Autoimmunity,Cardiovascular,Oncology,Others",F1(+/-),No,41769138261362916519,0
CD5,"CD5,T1,LEU1","Oncology,Inflammation and Autoimmunity,Metabolism,Others",F1(+/-),No,09763255448265916139,0
CD52,"CD52,HE5,EDDM5","Oncology,Inflammation and Autoimmunity",F1(+/-),No,31236955043971916769,1
CD54,"BB2,CD54,P3.58","Oncology,Inflammation and Autoimmunity",F1(+/-),No,66894713897960916329,1
CD56,CD56,"Oncology,Inflammation and Autoimmunity",F0,No,65508508795958916649,0
CD5L,"CD5L,AIM,PRO229",Oncology,F0,No,,
CD6,"CD6,TP120","Oncology,Inflammation and Autoimmunity,Metabolism",F1(+/-),No,85032835843070916379,1
CD61,"CD61,GPIIIa,ITGB3",Oncology,F1(+/-),No,1310451640410575024,0
CD62E,"ELAM,CD62E,SELE",Inflammation and Autoimmunity,F0,No,87246012261747916148,0
CD62L,"CD62L,TQ1,LAM1","Inflammation and Autoimmunity,Others,Oncology",F0,No,20761358688836916797,0
CD62P,"CD62P,GRMP,SELP","Inflammation and Autoimmunity,Cardiovascular",F0,No,97240823256319916544,1
CD63,"CD63,MLA1,TSPAN30","Oncology,Inflammation and Autoimmunity",F1(+/-),No,,
CD68,"CD68,GP110,LAMP4",Oncology,F0,No,,
CD69,"CD69,MLR-3,CLEC2C",Oncology,F0,No,,
CD7,"CD7,GP40,TP41","Oncology,Infectious Diseases",F1(+/-),No,81011440780449916714,0
CD70,"CD27L,TNFSF7,CD70","Oncology,Inflammation and Autoimmunity",F2(-/-),No,68977677421825916266,0
CD73,CD73,Oncology,In vivo efficacy,No,00130394742121916446,0
CD74,"CD74,p33, DHLAG, HLADG","Oncology,Inflammation and Autoimmunity",F1(+/-),No,89264038391022916327,0
CD79b,"CD79b,AGM6,B29","Oncology,Inflammation and Autoimmunity",F2(-/-),No,84967672751457916932,1
CD80,"CD80,B7-1,CD28LG","Oncology,Inflammation and Autoimmunity",F1(+/-),No,43796496802684916248,2
CD81,"CD81,TAPA1,TSPAN28","Oncology,Infectious Diseases,Inflammation and Autoimmunity",F1(+/-),No,,
CD83,"CD83,BL11,HB15","Inflammation and Autoimmunity,Oncology",F1(+/-),No,,
CD9,"CD9,MIC3,MRP-1",Oncology,F0,No,1316252729571549333,0
CD96,CD96,Oncology,In vivo efficacy,No,1310451640410575026,0
CDCP1,"CDCP1,CD318,TRASK",Oncology,F1(+/-),No,,
CDH17,"CDH17,HPT1",Oncology,F1(+/-),No,1310451640410575028,0
CDH3,"CDH3,CDH15,CADH3",Oncology,F2(-/-),No,95610343298992916513,0
CFB,"CFB,PBF2,AHUS4","Inflammation and Autoimmunity,Ophthalmology,Infectious Diseases,Others,Urological Diseases,Cardiovascular",F1(+/-),No,44317419277371916393,0
CFD,"CFD,DF,ADIPSIN","Ophthalmology,Inflammation and Autoimmunity,Urological Diseases,Cardiovascular",F1(+/-),No,55612089999068916443,0
