Target,Target Aliases,Therapeutic Area,Development Phase,Exclusive Partership,Launched Drugs
FGF2,"FGF2, BFGF, FGFB",Oncology,F0,No,10
L1CAM,"L1CAM, SPG1, CD171",Oncology,F0,No,0
MDK,"MDK, ARAP, NEGF2","Oncology,Inflammation and Autoimmunity",F0,No,1
PD-L2,"PD-L2, CD273, PDCD1LG2",Oncology,F0,No,0
CD106,"CD106, VCAM1","Oncology,Inflammation and Autoimmunity,Cardiovascular",F0,No,7
FGFR4,"FGFR4,  JTK2, CD334",Oncology,F0,No,17
ALK,"ALK, CD246, NBLST3",Oncology,F0,No,27
MDR-1,"ABCB1, CD243, GP170",Oncology,F0,No,45
CD14,CD14,"Infectious Diseases,Inflammation and Autoimmunity",F0,No,1
TLR3,"TLR3, CD283, IIAE2","Infectious Diseases,Inflammation and Autoimmunity",F0,No,16
TGM2,TGM2,"Infectious Diseases,Inflammation and Autoimmunity",F0,No,3
CCR8,"CCR8, CKRL1, CMKBR8",Oncology,F1(+/-),No,0
CX3CR1,"CX3CR1, GPR13, CMKDR1",Cardiovascular,F1(+/-),No,2
IL12B,"IL12B, CLMF, NKSF",Inflammation and Autoimmunity,F0,No,2
TNFRSF1A,"TNFRSF1A, TNFAR, TNFR1","Infectious Diseases,Inflammation and Autoimmunity",F0,No,0
ADAM9,"ADAM9, MCMP",Oncology,F0,No,0
IL21R,"IL21R, NILR, CD360",Inflammation and Autoimmunity,F0,No,1
CCR6,"CCR6, CD196, CKR-L3","Oncology,Inflammation and Autoimmunity",F1(+/-),No,0
CD20,"CD20, CVID5, LEU-16","Oncology,Inflammation and Autoimmunity",F0,No,121
CD22,"CD22, SIGLEC-2","Oncology,Inflammation and Autoimmunity",F0,No,42
CD33,"CD33, SIGLEC-3",Oncology,F0,No,30
IL23A,"IL23, IL-23A, IL23P19",Inflammation and Autoimmunity,F0,No,2
ROBO4,"ROBO4, AOVD3, ECSM4",Ophthalmology,F1(+/-),No,0
CD27,"CD27, TNFRSF7, Tp55","Oncology,Inflammation and Autoimmunity",F0,No,4
IL22RA,"IL22RA1, CRF2-9, IL22R",Inflammation and Autoimmunity,F0,No,0
LRRC15,"LRRC15, LIB",Oncology,F0,No,1
IL18RA,"IL18RA, CD218a","Oncology,Inflammation and Autoimmunity",F0,No,0
CD30,"CD30, D1S166E,  Ki-1",Oncology,F0,No,23
IL5R,"IL5R, CD125",Inflammation and Autoimmunity,F0,No,3
CACNA2D1,"CACNA2D1, CCHL2A",Oncology,F0,No,6
IL18,"IL18, IL1F4, IGIF",Inflammation and Autoimmunity,F0,No,5
CNGB1,"CNGB1, GARP2",Ophthalmology,F0,No,0
VISTA,"B7H5, PD-1H, VISTA",Oncology,F0,No,3
TROP2,"TROP2, EGP1, GA733-1",Oncology,F1(+/-),No,6
CCR7,"CCR7, CD197",Oncology,F0,No,0
GLP1R,"GLP1R, GLP-1",Metabolism,F0,No,130
DDR1b,DDR1b,"Oncology,Cardiovascular",F0,No,0
PCSK9,PCSK9,"Metabolism,Cardiovascular,Oncology",F0,No,30
RANKL,"RANKL, OPGL, TNFSF11","Orthopaedic Disorders,Metabolism,Oncology",F0,No,24
CD19,"CD19, B4, CVID3","Oncology,Inflammation and Autoimmunity",F0,No,186
IFNG,"IFNG, IFG, IFI","Inflammation and Autoimmunity,Infectious Diseases",F0,No,20
IL5,IL5,Inflammation and Autoimmunity,F0,No,7
CD62P,"CD62P, GRMP, SELP","Inflammation and Autoimmunity,Cardiovascular",F0,No,8
CGRP,"CGRP, CALC1, CGRP1","Neuroscience,Metabolism",F0,No,0
CRCP,"CRCP, CGRPRCP",Neuroscience,F0,No,0
ITGB6,"ITGB6, AI1H","Oncology,Inflammation and Autoimmunity",F1(+/-),No,0
EPHA2,"EPHA2, ECK, CTRCT6",Oncology,F0,No,8
TPBG,"TPBG, 5T4, WAIF1",Oncology,F1(+/-),No,8
ACE2,ACE2,Infectious Diseases,F1(+/-),No,0
PVRIG,"PVRIG, CD112R, C7orf15",Oncology,F0,No,1
Nectin-4,"Nectin-4, NECTIN4",Oncology,F0,No,2
CD38,CD38,Oncology,F0,No,22
ITGB7,ITGB7,Inflammation and Autoimmunity,F0,No,0
IL11RA,"IL11RA, CRSDA","Oncology,Infectious Diseases",F0,No,12
CCR9,"CCR9, GPR28, CC-CKR-9",Oncology,F0,No,4
CD155,"CD155, PVR",Oncology,F0,No,1
IL11,IL11,"Oncology,Infectious Diseases",F0,No,0
LRRC33,"LRRC33, NRROS",Oncology,F0,No,0
CD36,"CD36, FAT, GP3B","Oncology,Cardiovascular",F0,No,0
ADORA2A,"A2aR, RDC8, ADORA2",Oncology,F0,No,50
IL18RAP,"IL18RAP, IL18RB","Oncology,Inflammation and Autoimmunity",F0,No,0
PSMA,"PSMA, FGCP, FOLH1","Oncology,Neuroscience",F0,No,30
IL18BP,"IL18BP, FVHa","Oncology,Inflammation and Autoimmunity",F0,No,0
TNF,"TNF, TNFA, TNFSF2","Inflammation and Autoimmunity,Oncology,Infectious Diseases",F0,No,176
IL31,IL31,Inflammation and Autoimmunity,F0,No,0
BAFF,"BAFF, CD257, TNFSF20","Oncology,Inflammation and Autoimmunity",F0,No,12
CD6,"CD6, TP120","Oncology,Inflammation and Autoimmunity,Metabolism",F0,No,2
CD52,"CD52, HE5, EDDM5","Oncology,Inflammation and Autoimmunity",F0,No,7
SLAMF7,"SLAMF7, CD319, CRACC",Oncology,F0,No,6
ITGAL,"ITGAL, CD11A, LFA-1",Inflammation and Autoimmunity,F0,No,6
IL13RA1,IL13RA1,"Oncology,Inflammation and Autoimmunity",F0,No,0
ANGPTL4,"ANGPTL4, NL2, ARP4","Oncology,Metabolism",F0,No,0
CD133,"CD133, RP41, AC133",Oncology,F0,No,2
CD8,"CD8, p32, Leu2","Oncology,Inflammation and Autoimmunity",F0,No,0
CD63,"CD63, MLA1, TSPAN30","Oncology,Inflammation and Autoimmunity",F0,No,0
CAXII,"CAXII, CA-XII, T18816",Oncology,F0,No,0
CLDN3,"CLDN3, RVP1, CPETR2",Oncology,F0,No,0
